window_index,udp_pkt_count,udp_pkt_rate,avg_pkt_len,std_pkt_len,unique_src_ips,unique_dst_ports,entropy_src_ip,burst_100ms_max,pps_change,is_udp_flood,score_udp,severity_udp,rank_by_score
6251,2,2.0,80.0,0.0,1,1,0.0,2,-66.0,False,0.0,Normal,57
6269,4,4.0,84.0,8.0,2,2,1.0,4,2.0,False,0.0,Normal,57
6284,1,1.0,342.0,0.0,1,1,0.0,1,-3.0,False,0.0,Normal,57
6287,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
6290,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
6293,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
6298,40,40.0,100.55,24.858549837027905,3,9,1.3609640474436813,22,39.0,False,0.0,Normal,57
6299,24,24.0,110.91666666666667,26.291501584267788,3,5,1.4591479170272448,12,-16.0,False,0.0,Normal,57
6300,116,116.0,99.55172413793103,27.457912881098025,3,21,1.4467855508270953,50,92.0,True,290.0,Critical,36
6301,1,1.0,342.0,0.0,1,1,0.0,1,-115.0,False,0.0,Normal,57
6320,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
6326,12,12.0,113.83333333333333,32.91613923628077,2,4,1.0,10,11.0,False,0.0,Normal,57
6327,16,16.0,114.5,27.41805974171039,2,5,1.0,12,4.0,False,0.0,Normal,57
6329,29,29.0,127.65517241379311,67.60548634238913,3,9,1.1819141738305752,22,13.0,False,0.0,Normal,57
6331,1,1.0,342.0,0.0,1,1,0.0,1,-28.0,False,0.0,Normal,57
6340,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
6353,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
6366,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
6371,4,4.0,90.0,0.0,2,2,1.0,4,3.0,False,0.0,Normal,57
6374,1,1.0,342.0,0.0,1,1,0.0,1,-3.0,False,0.0,Normal,57
6377,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
6383,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
6396,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
6417,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
6419,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
6422,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
6427,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
6436,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
6440,10,10.0,75.2,13.717142559585797,1,2,0.0,10,9.0,False,0.0,Normal,57
6441,10,10.0,75.2,13.717142559585797,1,2,0.0,6,0.0,False,0.0,Normal,57
6442,4,4.0,92.0,0.0,1,1,0.0,4,-6.0,False,0.0,Normal,57
6454,1,1.0,342.0,0.0,1,1,0.0,1,-3.0,False,0.0,Normal,57
6462,4,4.0,112.5,27.5,2,2,1.0,2,3.0,False,0.0,Normal,57
6464,1,1.0,342.0,0.0,1,1,0.0,1,-3.0,False,0.0,Normal,57
6478,16,16.0,91.75,15.626499928006911,3,4,1.4056390622295665,16,15.0,False,0.0,Normal,57
6479,32,32.0,104.375,23.790426120605744,3,7,1.4056390622295665,14,16.0,False,0.0,Normal,57
6480,44,44.0,94.95454545454545,20.055553011861086,3,11,1.2197484934607565,22,12.0,False,0.0,Normal,57
6538,16,16.0,121.625,42.28160799922349,3,2,1.4056390622295665,14,-28.0,False,0.0,Normal,57
6560,64,64.0,99.59375,24.9347390388891,2,16,0.9971803988942642,22,48.0,False,0.0,Normal,57
6561,154,154.0,104.92207792207792,29.763468514605318,2,40,0.9998783322990061,50,90.0,True,385.0,Critical,18
6562,38,38.0,92.15789473684211,22.20067129827796,2,11,0.9980008838722996,24,-116.0,False,0.0,Normal,57
6564,8,8.0,108.5,32.13642792844283,2,3,1.0,6,-30.0,False,0.0,Normal,57
6565,8,8.0,108.5,32.13642792844283,2,3,1.0,6,0.0,False,0.0,Normal,57
6580,8,8.0,108.5,32.13642792844283,2,3,1.0,6,0.0,False,0.0,Normal,57
6594,4,4.0,109.0,35.0,2,2,1.0,4,-4.0,False,0.0,Normal,57
6600,4,4.0,157.5,66.5,2,2,1.0,2,0.0,False,0.0,Normal,57
6639,6,6.0,166.0,1.0,1,1,0.0,6,2.0,False,0.0,Normal,57
6642,6,6.0,166.0,1.0,1,1,0.0,6,0.0,False,0.0,Normal,57
6645,6,6.0,166.0,1.0,1,1,0.0,6,0.0,False,0.0,Normal,57
6658,20,20.0,104.0,23.97498696558561,3,5,1.3609640474436813,14,14.0,False,0.0,Normal,57
6659,36,36.0,109.44444444444444,25.51083042818878,3,8,1.3821022532543101,14,16.0,False,0.0,Normal,57
6660,112,112.0,96.46428571428571,22.569704952272925,3,28,1.111142415342844,50,76.0,True,280.0,Critical,38
6670,4,4.0,112.0,27.0,2,2,1.0,4,-108.0,False,0.0,Normal,57
6681,8,8.0,120.5,33.5,3,2,1.5,6,4.0,False,0.0,Normal,57
6715,10,10.0,76.4,12.737346662472525,1,2,0.0,7,2.0,False,0.0,Normal,57
6716,8,8.0,92.0,0.0,1,1,0.0,4,-2.0,False,0.0,Normal,57
6764,1,1.0,342.0,0.0,1,1,0.0,1,-7.0,False,0.0,Normal,57
6767,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
6770,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
6776,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
6787,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
6802,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
6809,2,2.0,342.0,0.0,1,1,0.0,1,1.0,False,0.0,Normal,57
6811,1,1.0,342.0,0.0,1,1,0.0,1,-1.0,False,0.0,Normal,57
6818,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
6823,3,3.0,183.0,0.0,1,1,0.0,3,2.0,False,0.0,Normal,57
6824,4,4.0,84.0,8.0,2,2,1.0,4,1.0,False,0.0,Normal,57
